`职务,地区,公司名字,薪资,经验,公司类型,公司福利
抖音电商运营,福州·鼓楼区·西禅寺,秘觉餐饮,4-8K,1-3年中专/中技,餐饮,节日福利，带薪年假，法定节假日三薪，生日福利，绩效奖金，团建聚餐，年终奖，五险一金，节假日加班费，补充医疗保险，免费工装，加班补助，高温补贴，包吃
软件测试工程师（非税）,福州·闽侯县·新西客站,博思软件,8-10K·13薪,3-5年本科,计算机软件,零食下午茶，员工俱乐部，员工旅游，节日福利，加班补助，股票期权，年终奖，交通补助，带薪年假，餐补，定期体检，通讯补贴，五险一金
竹木家居用品外贸合作伙伴,福州·仓山区·建新镇,福州力鑫,5-6K,3-5年大专,贸易/进出口,零食下午茶，年终奖，全勤奖，补充医疗保险，五险一金，带薪年假，交通补助，餐补，通讯补贴
高薪急聘优秀篮球教练（包住）,福州·台江区·宝龙,诚忠跆拳道,4-9K,经验不限学历不限,培训机构,住宿，五险
项目经理,福州·仓山区·金山,创达电子有限公司,9-14K·13薪,1-3年大专,计算机软件,全勤奖，年终奖，餐补，五险一金，节日福利，带薪年假
美容师,福州·鼓楼区·古田路,福州市蕾特恩美容...,5-10K,经验不限学历不限,美容/美发,
行政专员/助理,福州·晋安区·世欧王庄,福州壹果传媒有限公司,4-6K,1-3年学历不限,媒体,节日福利，零食下午茶，员工旅游
运维/实施工程师,福州·台江区·融侨中心,同力科技,6-11K·14薪,1-3年大专,计算机软件,带薪年假，节日福利，定期体检，交通补助，员工旅游，年终奖，餐补，五险一金
外贸业务员,福州·闽侯县·南屿,明辰智创,5-10K,1年以内大专,原材料及加工/模具,年终奖，餐补
架子鼓老师,福州·鼓楼区·古田路,若可邦文化传播,4-9K,经验不限大专,培训机构,
啤酒营销总监,福州·仓山区·浦上,瑞吉尔集团,20-30K,5-10年大专,其他服务业,员工旅游，零食下午茶，节日福利，带薪年假
服装设计助理,福州,遇见三月,3-5K,1年以内大专,服装/纺织/皮革,团建聚餐，交通补助，零食下午茶，医保+社保，餐补
产品经理,福州,金木年华家具,7-10K,1-3年本科,贸易/进出口,通讯补贴，全勤奖，节日福利，交通补助，五险一金，加班补助，带薪年假，年终奖
健康顾问（可考证+包住宿+无责底薪）,福州,考门医药,7-12K,1年以内本科,医疗健康,提供住宿，带薪培训，可考证，全勤奖，通讯补贴，交通补助，五险，补充医疗保险，超长年假，员工旅游，加班补助，师父一带一，带薪年假，年终奖，节日福利
执业药师,福州·马尾区·名城港湾,国瑞药业,5-7K,1-3年大专,医疗设备/器械,
景观设计师助理,福州·仓山区·金山,中盛天韵,3-6K,经验不限本科,建筑设计,
久号餐饮招聘厨师长,福州·鼓楼区·金牛山公园,久号餐饮,10-15K,1-3年学历不限,生活服务,股票期权，带薪年假，节日福利，餐补，全勤奖，年终奖，加班补助，包吃，员工旅游，定期体检
融资经理,福州·台江区·茶亭,中广发,6-10K,5-10年本科,互联网金融,节日福利，五险一金，股票期权，带薪年假
平面设计师,福州·鼓楼区·斗池,天标文化,4-8K,1-3年本科,广告/公关/会展,员工旅游，全勤奖，加班补助，零食下午茶，项目执行奖励，五险一金
口腔行业商务经理,福州·鼓楼区·鼓西,科尔口腔门诊部,6-11K,3-5年学历不限,医疗健康,员工旅游，加班补助，带薪年假，五险一金
webgl(cad)开发工程师,福州·闽侯县·建新,晨丰科技,5-10K,1-3年本科,计算机软件,
租赁专员＋带薪年假10天＋5k底薪＋抽成,福州·台江区·宝龙,家天下房产,7-10K,经验不限大专,地产经纪/中介,带薪培训，带薪年假，五险一金，带薪年假十天，零食下午茶，通讯补贴，员工旅游，带薪年假十天，一对一师傅带，节日福利
